'LUAL',"[0.450980392156863,0.960784313725490,0.294117647058824]"
'LUAR',"[0.450980392156863,0.960784313725490,0.294117647058824]"
'M1',"[0.258823529411765,0.262745098039216,0.960784313725490]"
'M2L',"[0,0,0]"
'M2R',"[0,0,0]"
'M3L',"[0.458823529411765,0.976470588235294,0.298039215686275]"
'M3R',"[0.458823529411765,0.976470588235294,0.298039215686275]"
'M4',"[0,0,0]"
'M5',"[0.278431372549020,0.360784313725490,0.282352941176471]"
'MCL',"[0,0,0]"
'MCR',"[0,0,0]"
'MI',"[0.278431372549020,0.372549019607843,0.274509803921569]"
'NSML',"[0.266666666666667,0.243137254901961,0.196078431372549]"
'NSMR',"[0.266666666666667,0.243137254901961,0.196078431372549]"
'OLLL',"[0.407843137254902,0.901960784313726,0.988235294117647]"
'OLLR',"[0.407843137254902,0.901960784313726,0.988235294117647]"
'OLQDL',"[0.458823529411765,0.976470588235294,0.298039215686275]"
'OLQDR',"[0.458823529411765,0.976470588235294,0.298039215686275]"
'OLQVL',"[0.458823529411765,0.976470588235294,0.298039215686275]"
'OLQVR',"[0.458823529411765,0.976470588235294,0.298039215686275]"
'PDA',"[0,0,0]"
'PDB',"[0.278431372549020,0.701960784313725,0.278431372549020]"
'PDEL',"[0.925490196078431,0.419607843137255,0.262745098039216]"
'PDER',"[0.925490196078431,0.419607843137255,0.262745098039216]"
'PHAL',"[0.231372549019608,0.592156862745098,0.337254901960784]"
'PHAR',"[0.231372549019608,0.592156862745098,0.337254901960784]"
'PHBL',"[0.270588235294118,0.431372549019608,0.619607843137255]"
'PHBR',"[0.270588235294118,0.431372549019608,0.619607843137255]"
'PHCL',"[0.615686274509804,0.247058823529412,1]"
'PHCR',"[0.615686274509804,0.247058823529412,1]"
